sampno,latitude,longitude,GEOID,latitude_work,longitude_work,GEOID_work,hh_income,hh_veh,own_home,race,has_children,hhsize,w_travel,wthhfin,comm_id_home,comm_id_work
20000136,41.891022,-87.612931,17031081402,41.928424,-87.684906,17031830900,125000.0,1,False,1,True,3,7,319.6422,8,22.0
20000300,41.898335,-87.620753,17031081300,41.878635,-87.642924,17031281900,55000.0,0,False,1,False,1,5,68.701,8,28.0
20000752,41.986808,-87.694415,17031020801,41.878667,-87.671689,17031838100,82500.0,1,False,1,True,4,3,662.6029,2,28.0
20001025,41.907969,-87.694534,17031241000,41.895035,-87.619717,17031081401,82500.0,1,False,1,False,2,5,69.2482,24,8.0
20002017,41.980812,-87.654528,17031030702,42.112539,-87.757493,17031800300,82500.0,1,True,3,False,1,5,73.8311,77,
20002411,41.957531,-87.666611,17031060100,41.880986,-87.63307,17031839100,180000.0,1,True,1,False,2,5,86.8728,6,32.0
20002535,41.982745,-87.657966,17031030701,41.880986,-87.63307,17031839100,27500.0,0,False,1,False,1,5,73.6225,77,32.0
20002650,41.921647,-87.689951,17031221500,41.983487,-87.84485,17031760801,55000.0,1,False,1,False,1,5,68.4132,22,76.0
20002772,41.964514,-87.702847,17031140800,41.886447,-87.619467,17031320100,55000.0,1,True,1,False,2,4,82.7949,14,32.0
20003187,41.900221,-87.629105,17031081100,42.097312,-88.019328,17031803901,180000.0,1,False,1,False,2,5,69.9349,8,
20003264,41.979855,-87.694096,17031040202,41.825147,-87.787768,17031815500,82500.0,2,True,3,False,3,6,662.6029,4,
20003341,41.972124,-87.79763,17031100700,42.173681,-87.878362,17097864802,125000.0,2,True,1,True,3,5,784.7039,10,
20003623,41.886447,-87.619467,17031320100,41.892906,-87.626079,17031081500,82500.0,0,False,1,False,1,5,190.4181,32,8.0
20004111,41.835568,-87.606528,17031351000,41.880986,-87.63307,17031839100,67500.0,1,True,2,False,1,2,145.1455,35,32.0
20005726,41.921779,-87.641458,17031071300,41.922726,-87.629526,17031071400,27500.0,0,True,1,False,1,3,611.3482,7,7.0
20006140,41.958304,-87.660765,17031830700,41.880986,-87.63307,17031839100,82500.0,1,True,1,False,1,5,73.6225,3,32.0
20006145,41.958304,-87.660765,17031830700,42.044784,-87.672522,17031809400,125000.0,1,True,1,False,1,5,73.6225,3,
30000584,41.946698,-87.639064,17031061902,41.880986,-87.63307,17031839100,125000.0,0,False,1,False,1,5,68.6378,6,32.0
30000598,41.825946,-87.599456,17031836500,41.727616,-87.674736,17031720100,10000.0,1,False,2,True,2,-1,114.0339,36,72.0
30000603,41.900266,-87.632109,17031081000,41.878635,-87.642924,17031281900,125000.0,0,False,1,False,1,4,68.9744,8,28.0
30000926,41.859295,-87.615523,17031330100,41.885452,-87.643498,17031280100,82500.0,1,True,3,False,1,4,68.4802,33,28.0
30001049,41.914798,-87.676997,17031831000,41.899737,-87.664954,17031242000,67500.0,1,True,1,False,1,5,68.7339,22,24.0
30001090,41.958304,-87.660765,17031830700,41.880986,-87.63307,17031839100,67500.0,0,False,1,False,1,5,73.6225,3,32.0
30001108,41.859295,-87.615523,17031330100,41.880986,-87.63307,17031839100,82500.0,1,False,2,False,1,5,364.2448,33,32.0
30001293,41.957531,-87.666611,17031060100,41.886447,-87.619467,17031320100,67500.0,1,True,1,False,1,5,68.4591,6,32.0
30001371,41.987574,-87.829439,17031810400,41.959585,-87.810459,17031810502,82500.0,2,True,1,False,2,4,103.397,10,
30001443,41.95774,-87.683717,17031050200,41.880986,-87.63307,17031839100,180000.0,2,True,1,False,2,5,74.5874,5,32.0
30001467,41.978875,-87.657871,17031030703,41.875817,-87.617256,17031320400,125000.0,1,False,1,False,2,4,73.6724,77,32.0
30001542,41.898425,-87.770385,17031251300,41.880986,-87.63307,17031839100,55000.0,1,True,6,False,1,5,75.9708,25,32.0
30001907,41.93486,-87.771232,17031190402,41.949977,-87.730683,17031161000,67500.0,3,True,1,False,2,5,286.9586,19,16.0
30002054,41.781532,-87.771635,17031640300,42.087512,-87.877334,17031801603,67500.0,2,True,4,False,3,5,1024.2969,64,
